Model Params: 25.83M
Trainable Params: 25.830M
策略模型总参数量：25.830 M
Model Params: 25.83M
Trainable Params: 25.830M
参考模型总参数量：25.830 M
Epoch:[1/1](50/4292), loss: 0.6871, dpo_loss: 0.6871, aux_loss: 0.0000, chosen_reward: 0.0084, rejected_reward: -0.0038, reward_margin: 0.0122, learning_rate: 0.00000100, epoch_time: 5.000min
Epoch:[1/1](100/4292), loss: 0.6911, dpo_loss: 0.6911, aux_loss: 0.0000, chosen_reward: 0.0030, rejected_reward: -0.0011, reward_margin: 0.0042, learning_rate: 0.00000100, epoch_time: 5.000min
Epoch:[1/1](150/4292), loss: 0.6946, dpo_loss: 0.6946, aux_loss: 0.0000, chosen_reward: -0.0060, rejected_reward: -0.0031, reward_margin: -0.0029, learning_rate: 0.00000100, epoch_time: 5.000min
Epoch:[1/1](200/4292), loss: 0.6899, dpo_loss: 0.6899, aux_loss: 0.0000, chosen_reward: -0.0048, rejected_reward: -0.0114, reward_margin: 0.0066, learning_rate: 0.00000100, epoch_time: 5.000min
Epoch:[1/1](250/4292), loss: 0.6831, dpo_loss: 0.6831, aux_loss: 0.0000, chosen_reward: -0.0244, rejected_reward: -0.0448, reward_margin: 0.0204, learning_rate: 0.00000099, epoch_time: 5.000min
Epoch:[1/1](300/4292), loss: 0.6845, dpo_loss: 0.6845, aux_loss: 0.0000, chosen_reward: -0.0280, rejected_reward: -0.0456, reward_margin: 0.0176, learning_rate: 0.00000099, epoch_time: 5.000min
Epoch:[1/1](350/4292), loss: 0.6857, dpo_loss: 0.6857, aux_loss: 0.0000, chosen_reward: 0.0122, rejected_reward: -0.0028, reward_margin: 0.0150, learning_rate: 0.00000099, epoch_time: 5.000min
Epoch:[1/1](400/4292), loss: 0.6816, dpo_loss: 0.6816, aux_loss: 0.0000, chosen_reward: 0.0033, rejected_reward: -0.0199, reward_margin: 0.0232, learning_rate: 0.00000098, epoch_time: 4.000min
Epoch:[1/1](450/4292), loss: 0.6807, dpo_loss: 0.6807, aux_loss: 0.0000, chosen_reward: -0.0600, rejected_reward: -0.0856, reward_margin: 0.0256, learning_rate: 0.00000098, epoch_time: 4.000min
Epoch:[1/1](500/4292), loss: 0.6930, dpo_loss: 0.6930, aux_loss: 0.0000, chosen_reward: -0.0377, rejected_reward: -0.0380, reward_margin: 0.0003, learning_rate: 0.00000097, epoch_time: 4.000min
Epoch:[1/1](550/4292), loss: 0.6810, dpo_loss: 0.6810, aux_loss: 0.0000, chosen_reward: -0.0310, rejected_reward: -0.0555, reward_margin: 0.0245, learning_rate: 0.00000096, epoch_time: 4.000min
Epoch:[1/1](600/4292), loss: 0.6654, dpo_loss: 0.6654, aux_loss: 0.0000, chosen_reward: -0.0189, rejected_reward: -0.0761, reward_margin: 0.0572, learning_rate: 0.00000096, epoch_time: 4.000min
Epoch:[1/1](650/4292), loss: 0.6657, dpo_loss: 0.6657, aux_loss: 0.0000, chosen_reward: 0.0088, rejected_reward: -0.0475, reward_margin: 0.0563, learning_rate: 0.00000095, epoch_time: 4.000min
Epoch:[1/1](700/4292), loss: 0.6825, dpo_loss: 0.6825, aux_loss: 0.0000, chosen_reward: -0.0593, rejected_reward: -0.0812, reward_margin: 0.0219, learning_rate: 0.00000094, epoch_time: 4.000min
Epoch:[1/1](750/4292), loss: 0.7082, dpo_loss: 0.7082, aux_loss: 0.0000, chosen_reward: -0.0309, rejected_reward: -0.0017, reward_margin: -0.0293, learning_rate: 0.00000093, epoch_time: 4.000min
Epoch:[1/1](800/4292), loss: 0.6927, dpo_loss: 0.6927, aux_loss: 0.0000, chosen_reward: -0.0907, rejected_reward: -0.0945, reward_margin: 0.0038, learning_rate: 0.00000093, epoch_time: 4.000min
Epoch:[1/1](850/4292), loss: 0.6666, dpo_loss: 0.6666, aux_loss: 0.0000, chosen_reward: -0.0891, rejected_reward: -0.1465, reward_margin: 0.0574, learning_rate: 0.00000092, epoch_time: 4.000min
Epoch:[1/1](900/4292), loss: 0.6876, dpo_loss: 0.6876, aux_loss: 0.0000, chosen_reward: -0.0446, rejected_reward: -0.0558, reward_margin: 0.0112, learning_rate: 0.00000091, epoch_time: 3.000min
Epoch:[1/1](950/4292), loss: 0.6748, dpo_loss: 0.6748, aux_loss: 0.0000, chosen_reward: -0.0807, rejected_reward: -0.1177, reward_margin: 0.0371, learning_rate: 0.00000090, epoch_time: 3.000min
Epoch:[1/1](1000/4292), loss: 0.5911, dpo_loss: 0.5911, aux_loss: 0.0000, chosen_reward: -0.1702, rejected_reward: -0.3914, reward_margin: 0.2211, learning_rate: 0.00000088, epoch_time: 3.000min
Epoch:[1/1](1050/4292), loss: 0.6936, dpo_loss: 0.6936, aux_loss: 0.0000, chosen_reward: -0.0367, rejected_reward: -0.0369, reward_margin: 0.0002, learning_rate: 0.00000087, epoch_time: 3.000min
Epoch:[1/1](1100/4292), loss: 0.7146, dpo_loss: 0.7146, aux_loss: 0.0000, chosen_reward: -0.3221, rejected_reward: -0.2805, reward_margin: -0.0416, learning_rate: 0.00000086, epoch_time: 3.000min
Epoch:[1/1](1150/4292), loss: 0.6826, dpo_loss: 0.6826, aux_loss: 0.0000, chosen_reward: -0.0314, rejected_reward: -0.0539, reward_margin: 0.0225, learning_rate: 0.00000085, epoch_time: 3.000min
Epoch:[1/1](1200/4292), loss: 0.6917, dpo_loss: 0.6917, aux_loss: 0.0000, chosen_reward: -0.2181, rejected_reward: -0.2215, reward_margin: 0.0034, learning_rate: 0.00000084, epoch_time: 3.000min
Epoch:[1/1](1250/4292), loss: 0.6074, dpo_loss: 0.6074, aux_loss: 0.0000, chosen_reward: -0.1129, rejected_reward: -0.3086, reward_margin: 0.1957, learning_rate: 0.00000082, epoch_time: 3.000min
Epoch:[1/1](1300/4292), loss: 0.6405, dpo_loss: 0.6405, aux_loss: 0.0000, chosen_reward: -0.1366, rejected_reward: -0.2474, reward_margin: 0.1108, learning_rate: 0.00000081, epoch_time: 3.000min
Epoch:[1/1](1350/4292), loss: 0.7554, dpo_loss: 0.7554, aux_loss: 0.0000, chosen_reward: -0.2058, rejected_reward: -0.0919, reward_margin: -0.1139, learning_rate: 0.00000080, epoch_time: 3.000min
Epoch:[1/1](1400/4292), loss: 0.6970, dpo_loss: 0.6970, aux_loss: 0.0000, chosen_reward: -0.3701, rejected_reward: -0.3758, reward_margin: 0.0057, learning_rate: 0.00000078, epoch_time: 3.000min
Epoch:[1/1](1450/4292), loss: 0.6384, dpo_loss: 0.6384, aux_loss: 0.0000, chosen_reward: -0.1242, rejected_reward: -0.2461, reward_margin: 0.1220, learning_rate: 0.00000077, epoch_time: 3.000min
Epoch:[1/1](1500/4292), loss: 0.6829, dpo_loss: 0.6829, aux_loss: 0.0000, chosen_reward: -0.4765, rejected_reward: -0.4993, reward_margin: 0.0228, learning_rate: 0.00000075, epoch_time: 3.000min
Epoch:[1/1](1550/4292), loss: 0.7033, dpo_loss: 0.7033, aux_loss: 0.0000, chosen_reward: -0.3473, rejected_reward: -0.3835, reward_margin: 0.0363, learning_rate: 0.00000074, epoch_time: 3.000min
Epoch:[1/1](1600/4292), loss: 0.6589, dpo_loss: 0.6589, aux_loss: 0.0000, chosen_reward: -0.2908, rejected_reward: -0.3648, reward_margin: 0.0739, learning_rate: 0.00000073, epoch_time: 3.000min
Epoch:[1/1](1650/4292), loss: 0.6361, dpo_loss: 0.6361, aux_loss: 0.0000, chosen_reward: -0.2282, rejected_reward: -0.3666, reward_margin: 0.1384, learning_rate: 0.00000071, epoch_time: 3.000min
Epoch:[1/1](1700/4292), loss: 0.6973, dpo_loss: 0.6973, aux_loss: 0.0000, chosen_reward: -0.2334, rejected_reward: -0.2288, reward_margin: -0.0046, learning_rate: 0.00000069, epoch_time: 3.000min
Epoch:[1/1](1750/4292), loss: 0.6271, dpo_loss: 0.6271, aux_loss: 0.0000, chosen_reward: -0.3829, rejected_reward: -0.5302, reward_margin: 0.1474, learning_rate: 0.00000068, epoch_time: 3.000min
Epoch:[1/1](1800/4292), loss: 0.5397, dpo_loss: 0.5397, aux_loss: 0.0000, chosen_reward: -0.1856, rejected_reward: -0.5691, reward_margin: 0.3835, learning_rate: 0.00000066, epoch_time: 2.000min
Epoch:[1/1](1850/4292), loss: 0.4985, dpo_loss: 0.4985, aux_loss: 0.0000, chosen_reward: -0.4251, rejected_reward: -1.1623, reward_margin: 0.7372, learning_rate: 0.00000065, epoch_time: 2.000min
Epoch:[1/1](1900/4292), loss: 0.5002, dpo_loss: 0.5002, aux_loss: 0.0000, chosen_reward: -1.0646, rejected_reward: -1.7100, reward_margin: 0.6454, learning_rate: 0.00000063, epoch_time: 2.000min
Epoch:[1/1](1950/4292), loss: 0.7453, dpo_loss: 0.7453, aux_loss: 0.0000, chosen_reward: -0.9383, rejected_reward: -0.8384, reward_margin: -0.0998, learning_rate: 0.00000061, epoch_time: 2.000min
Epoch:[1/1](2000/4292), loss: 0.6487, dpo_loss: 0.6487, aux_loss: 0.0000, chosen_reward: -0.2132, rejected_reward: -0.3057, reward_margin: 0.0926, learning_rate: 0.00000060, epoch_time: 2.000min
Epoch:[1/1](2050/4292), loss: 0.5804, dpo_loss: 0.5804, aux_loss: 0.0000, chosen_reward: -1.6926, rejected_reward: -2.0406, reward_margin: 0.3480, learning_rate: 0.00000058, epoch_time: 2.000min
Epoch:[1/1](2100/4292), loss: 0.6788, dpo_loss: 0.6788, aux_loss: 0.0000, chosen_reward: -0.5650, rejected_reward: -0.6022, reward_margin: 0.0372, learning_rate: 0.00000057, epoch_time: 2.000min
Epoch:[1/1](2150/4292), loss: 0.7107, dpo_loss: 0.7107, aux_loss: 0.0000, chosen_reward: -0.9404, rejected_reward: -0.9218, reward_margin: -0.0186, learning_rate: 0.00000055, epoch_time: 2.000min
Epoch:[1/1](2200/4292), loss: 0.9505, dpo_loss: 0.9505, aux_loss: 0.0000, chosen_reward: -1.2035, rejected_reward: -0.9157, reward_margin: -0.2877, learning_rate: 0.00000053, epoch_time: 2.000min
Epoch:[1/1](2250/4292), loss: 0.5219, dpo_loss: 0.5219, aux_loss: 0.0000, chosen_reward: -0.4959, rejected_reward: -0.8949, reward_margin: 0.3990, learning_rate: 0.00000052, epoch_time: 2.000min
Epoch:[1/1](2300/4292), loss: 0.6211, dpo_loss: 0.6211, aux_loss: 0.0000, chosen_reward: -0.8576, rejected_reward: -1.0246, reward_margin: 0.1671, learning_rate: 0.00000050, epoch_time: 2.000min
Epoch:[1/1](2350/4292), loss: 0.6342, dpo_loss: 0.6342, aux_loss: 0.0000, chosen_reward: -0.0614, rejected_reward: -0.1949, reward_margin: 0.1334, learning_rate: 0.00000048, epoch_time: 2.000min
Epoch:[1/1](2400/4292), loss: 0.6041, dpo_loss: 0.6041, aux_loss: 0.0000, chosen_reward: -0.5384, rejected_reward: -0.7311, reward_margin: 0.1928, learning_rate: 0.00000047, epoch_time: 2.000min
Epoch:[1/1](2450/4292), loss: 0.5322, dpo_loss: 0.5322, aux_loss: 0.0000, chosen_reward: -0.4063, rejected_reward: -0.8506, reward_margin: 0.4443, learning_rate: 0.00000045, epoch_time: 2.000min
Epoch:[1/1](2500/4292), loss: 0.7574, dpo_loss: 0.7574, aux_loss: 0.0000, chosen_reward: -0.6416, rejected_reward: -0.5523, reward_margin: -0.0893, learning_rate: 0.00000043, epoch_time: 2.000min
Epoch:[1/1](2550/4292), loss: 0.6324, dpo_loss: 0.6324, aux_loss: 0.0000, chosen_reward: -0.5541, rejected_reward: -0.6797, reward_margin: 0.1256, learning_rate: 0.00000042, epoch_time: 2.000min
Epoch:[1/1](2600/4292), loss: 0.8505, dpo_loss: 0.8505, aux_loss: 0.0000, chosen_reward: -1.4191, rejected_reward: -1.2918, reward_margin: -0.1272, learning_rate: 0.00000040, epoch_time: 2.000min
Epoch:[1/1](2650/4292), loss: 0.7076, dpo_loss: 0.7076, aux_loss: 0.0000, chosen_reward: -0.0950, rejected_reward: -0.0691, reward_margin: -0.0259, learning_rate: 0.00000039, epoch_time: 2.000min
Epoch:[1/1](2700/4292), loss: 0.5945, dpo_loss: 0.5945, aux_loss: 0.0000, chosen_reward: -1.5709, rejected_reward: -2.2597, reward_margin: 0.6888, learning_rate: 0.00000037, epoch_time: 1.000min
Epoch:[1/1](2750/4292), loss: 0.4290, dpo_loss: 0.4290, aux_loss: 0.0000, chosen_reward: -0.9829, rejected_reward: -1.8895, reward_margin: 0.9066, learning_rate: 0.00000036, epoch_time: 1.000min
Epoch:[1/1](2800/4292), loss: 0.5820, dpo_loss: 0.5820, aux_loss: 0.0000, chosen_reward: -0.2572, rejected_reward: -0.5051, reward_margin: 0.2479, learning_rate: 0.00000034, epoch_time: 1.000min
Epoch:[1/1](2850/4292), loss: 0.6676, dpo_loss: 0.6676, aux_loss: 0.0000, chosen_reward: -0.0297, rejected_reward: -0.0827, reward_margin: 0.0530, learning_rate: 0.00000033, epoch_time: 1.000min
Epoch:[1/1](2900/4292), loss: 0.5003, dpo_loss: 0.5003, aux_loss: 0.0000, chosen_reward: -0.8435, rejected_reward: -1.9077, reward_margin: 1.0642, learning_rate: 0.00000031, epoch_time: 1.000min
Epoch:[1/1](2950/4292), loss: 0.6939, dpo_loss: 0.6939, aux_loss: 0.0000, chosen_reward: -0.1922, rejected_reward: -0.1978, reward_margin: 0.0055, learning_rate: 0.00000030, epoch_time: 1.000min
Epoch:[1/1](3000/4292), loss: 1.0580, dpo_loss: 1.0580, aux_loss: 0.0000, chosen_reward: -1.4036, rejected_reward: -0.9733, reward_margin: -0.4303, learning_rate: 0.00000029, epoch_time: 1.000min
Epoch:[1/1](3050/4292), loss: 0.5689, dpo_loss: 0.5689, aux_loss: 0.0000, chosen_reward: -0.6873, rejected_reward: -1.0683, reward_margin: 0.3809, learning_rate: 0.00000027, epoch_time: 1.000min
Epoch:[1/1](3100/4292), loss: 0.6527, dpo_loss: 0.6527, aux_loss: 0.0000, chosen_reward: -0.2643, rejected_reward: -0.3482, reward_margin: 0.0839, learning_rate: 0.00000026, epoch_time: 1.000min
Epoch:[1/1](3150/4292), loss: 0.6770, dpo_loss: 0.6770, aux_loss: 0.0000, chosen_reward: -0.3858, rejected_reward: -0.4636, reward_margin: 0.0778, learning_rate: 0.00000025, epoch_time: 1.000min
Epoch:[1/1](3200/4292), loss: 0.5200, dpo_loss: 0.5200, aux_loss: 0.0000, chosen_reward: -0.1372, rejected_reward: -0.6492, reward_margin: 0.5120, learning_rate: 0.00000024, epoch_time: 1.000min
Epoch:[1/1](3250/4292), loss: 0.6966, dpo_loss: 0.6966, aux_loss: 0.0000, chosen_reward: -0.7624, rejected_reward: -1.2323, reward_margin: 0.4699, learning_rate: 0.00000022, epoch_time: 1.000min
Epoch:[1/1](3300/4292), loss: 0.6347, dpo_loss: 0.6347, aux_loss: 0.0000, chosen_reward: -0.4523, rejected_reward: -0.6541, reward_margin: 0.2018, learning_rate: 0.00000021, epoch_time: 1.000min
Epoch:[1/1](3350/4292), loss: 0.9877, dpo_loss: 0.9877, aux_loss: 0.0000, chosen_reward: -0.8949, rejected_reward: -0.4264, reward_margin: -0.4685, learning_rate: 0.00000020, epoch_time: 1.000min
